ID,Especie,Subespecie,Poblacion,Localidad,Locacion,,,
KT957236,Ara militaris,A. m. militaris,C2,P14_B,06° 17? 20? N,74° 37? 36? O,,
KT957229,Ara militaris,A. m. militaris,P1,P15_L,04° 11? 35? S,74° 12? 24? O,,
KT957240,Ara militaris,A. m. militaris,P1,P15_L,04° 11? 35? S,74° 12? 24? O,,
KT957238,Ara militaris,A. m. militaris,P1,P15_L,04° 11? 35? S,74° 12? 24? O,,
KT957235,Ara militaris,A. m. militaris,P1,P15_L,04° 11? 35? S,74° 12? 24? O,,
KT957231,Ara militaris,A. m. bolivianus,B1,P16_S,14° 48? 41? S,62° 07? 24? O,,
KT957232,Ara militaris,A. m. bolivianus,B1,P16_S,14° 48? 41? S,62° 07? 24? O,,
KT957234,Ara militaris,A. m. bolivianus,B1,P16_S,14° 48? 41? S,62° 07? 24? O,,
KT957233,Ara militaris,A. m. bolivianus,B1,P16_S,14° 48? 41? S,62° 07? 24? O,,
KT957230,Ara militaris,A. m. bolivianus,B1,P16_S,14° 48? 41? S,62° 07? 24? O,,
